-0.025	-0.020	-0.015	-0.010	-0.005	 0.000	 0.005	 0.010	 0.015	 0.020	 0.025
 0.121	 0.050	 0.117	 0.338	 0.543	 0.667	 0.674	 0.576	 0.414	 0.248	 0.119
 0.122	 0.041	 0.135	 0.362	 0.566	 0.682	 0.679	 0.568	 0.399	 0.230	 0.104
 0.118	 0.061	 0.099	 0.315	 0.529	 0.668	 0.690	 0.594	 0.425	 0.243	 0.102
 0.106	 0.001	 0.198	 0.429	 0.619	 0.705	 0.665	 0.524	 0.338	 0.169	 0.054
 0.102	 0.063	 0.075	 0.286	 0.505	 0.658	 0.694	 0.607	 0.439	 0.252	 0.104
 0.061	 0.075	 0.285	 0.506	 0.663	 0.703	 0.619	 0.449	 0.255	 0.097	 0.005
 0.111	 0.066	 0.082	 0.299	 0.512	 0.647	 0.660	 0.557	 0.389	 0.220	 0.101
 0.040	 0.101	 0.313	 0.529	 0.674	 0.696	 0.593	 0.410	 0.213	 0.063	 0.015
 0.121	 0.072	 0.107	 0.320	 0.521	 0.632	 0.616	 0.492	 0.320	 0.162	 0.058
 0.058	 0.059	 0.259	 0.484	 0.652	 0.704	 0.623	 0.446	 0.242	 0.076	 0.017
 0.067	 0.060	 0.121	 0.311	 0.508	 0.624	 0.612	 0.485	 0.298	 0.122	 0.014
 0.073	 0.000	 0.171	 0.396	 0.596	 0.698	 0.665	 0.516	 0.311	 0.122	 0.002
 0.058	 0.057	 0.048	 0.245	 0.463	 0.609	 0.623	 0.509	 0.325	 0.150	 0.054
 0.075	 0.036	 0.102	 0.312	 0.527	 0.669	 0.687	 0.578	 0.390	 0.190	 0.040
 0.108	 0.119	 0.019	 0.192	 0.420	 0.578	 0.606	 0.512	 0.352	 0.195	 0.087
 0.071	 0.046	 0.070	 0.261	 0.472	 0.630	 0.679	 0.606	 0.441	 0.247	 0.085
 0.101	 0.106	 0.013	 0.185	 0.397	 0.547	 0.583	 0.503	 0.355	 0.198	 0.076
 0.057	 0.011	 0.116	 0.302	 0.491	 0.622	 0.650	 0.568	 0.411	 0.231	 0.082
 0.078	 0.071	 0.049	 0.219	 0.406	 0.532	 0.552	 0.469	 0.328	 0.185	 0.086
 0.018	 0.078	 0.235	 0.413	 0.558	 0.624	 0.590	 0.472	 0.311	 0.155	 0.040
 0.142	 0.091	 0.050	 0.228	 0.394	 0.493	 0.505	 0.441	 0.335	 0.227	 0.141
 0.005	 0.110	 0.269	 0.438	 0.566	 0.612	 0.564	 0.441	 0.285	 0.139	 0.036
 0.124	 0.058	 0.083	 0.248	 0.396	 0.484	 0.493	 0.434	 0.335	 0.229	 0.141
 0.025	 0.124	 0.270	 0.426	 0.547	 0.594	 0.553	 0.440	 0.291	 0.148	 0.044
 0.074	 0.054	 0.168	 0.307	 0.421	 0.480	 0.474	 0.411	 0.314	 0.210	 0.121
 0.036	 0.132	 0.271	 0.420	 0.537	 0.584	 0.548	 0.440	 0.295	 0.153	 0.046
 0.041	 0.046	 0.162	 0.294	 0.407	 0.473	 0.479	 0.426	 0.334	 0.228	 0.132
 0.022	 0.117	 0.259	 0.411	 0.531	 0.580	 0.542	 0.428	 0.274	 0.124	 0.014
 0.089	 0.175	 0.269	 0.356	 0.421	 0.452	 0.446	 0.405	 0.337	 0.254	 0.171
